Año,Día,Localidad,Latitud,Longitud,Título,Muertos,Heridos,Detenidos,Liberados,Decomisos
2012, 4 de Septiembre , Monterrey ,25.647078,-100.314445, Le dan tiro de gracia y lo encobijan ,0,0,0,0,0
2012, 3 de Septiembre , Monterrey ,25.733107,-100.332298, Matan a reo en el Penal ,0,0,0,0,0
2012, 1 de Septiembre , Monterrey ,25.646986,-100.306163, Asesinan a una mujer de un balazo ,0,0,0,0,0
2012, 31 de Agosto     , Monterrey ,25.593968,-100.263462, Muere en hospital tras ataque a tiros ,0,0,0,0,0
2012, 30 de Agosto     , Monterrey ,25.674253,-100.284319, Ejecutan a joven frente a Fundidora ,0,0,0,0,0
2012, 29 de Agosto     , Monterrey ,25.672435,-100.286357, Levantan y fusilan a 9 ,0,0,0,0,0
2012, 29 de Agosto     , Monterrey ,25.712422,-100.340565, Levantan y fusilan a 9 ,0,0,0,0,0
2012, 28 de Agosto     , Monterrey ,25.653083,-100.304188, Hallan a asesinado junto a escuela ,0,0,0,0,0
2012, 28 de Agosto     , Monterrey ,25.75397,-100.376459, Lo matan cerca de Policia ,0,0,0,0,0
2012, 28 de Agosto     , Monterrey ,25.65872,-100.317516, Degollan a 4 y destazan a 1 ,0,0,0,0,0
2012, 27 de Agosto     , Monterrey ,25.74019,-100.369791, Lo hincan sicarios y le dan 4 balazos ,0,0,0,0,0
2012, 26 de Agosto     , Monterrey ,25.699443,-100.341369, Fallecen dos de 5 baleados afuera de bar ,0,0,0,0,0
2012, 25 de Agosto     , Monterrey ,25.680969,-100.338913, Asesinan a hombre de cinco balazos ,0,0,0,0,0
2012, 24 de Agosto     , Monterrey ,25.770214,-100.393066, Asesinan a un taxista ,0,0,0,0,0
2012, 22 de Agosto     , Monterrey ,25.739312,-100.337384, Secuestran y sepultan ,0,0,0,0,0
2012, 20 de Agosto     , Monterrey ,25.681137,-100.305176, Ejecutan a joven frente a un hotel ,0,0,0,0,0
2012, 19 de Agosto     , Monterrey ,25.684971,-100.270942, Atacan otro table y ejecutan a dos ,0,0,0,0,0
2012, 19 de Agosto     , Monterrey ,25.705512,-100.328038, Matan sicarios a una bailarina tras plagiarla ,0,0,0,0,0
2012, 18 de Agosto     , Monterrey ,25.713707,-100.325934, Ejecutan a pareja tras perseguirla ,0,0,0,0,0
2012, 17 de Agosto     , Monterrey ,25.692962,-100.306761, Lo matan de 3 tiros en Colonia Asarco ,0,0,0,0,0
2012, 16 de Agosto     , Monterrey ,25.63466,-100.295772, Dejan en auto a un ejecutado de dos balazos ,0,0,0,0,0
2012, 15 de Agosto     , Monterrey ,25.65872,-100.317516, Tras jugar futbol los plagian y matan ,0,0,0,0,0
2012, 15 de Agosto     , Monterrey ,25.782355,-100.408754, Torturan y matan ,0,0,0,0,0
2012, 15 de Agosto     , Monterrey ,25.712378,-100.303487, Muere baleado a dos cuadras de Polic&#237;a Regia ,0,0,0,0,0
2012, 14 de Agosto     , Monterrey ,25.777767,-100.370844, Matan sicarios a 3 por no pagar cuota ,0,0,0,0,0
2012, 13 de Agosto     , Monterrey ,25.681137,-100.305176, Matan a 8 en un table ,0,0,0,0,0
2012, 13 de Agosto     , Monterrey ,25.681137,-100.305176, Fallece a balazos en el Cerro de la Loma Larga ,0,0,0,0,0
2012, 12 de Agosto     , Monterrey ,25.724632,-100.328105, Lo levantan en taxi para matarlo a tiros ,0,0,0,0,0
2012, 12 de Agosto     , Monterrey ,25.670592,-100.365176, Hallan un encobijado dentro de car wash ,0,0,0,0,0
2012, 11 de Agosto     , Monterrey ,25.664547,-100.3333, Matan sicarios a 2; uno ten&#237;a 16 a&#241;os ,0,0,0,0,0
2012, 11 de Agosto     , Monterrey ,25.746763,-100.323829, Dejan cuerpo con mensaje  ,0,0,0,0,0
2012, 11 de Agosto     , Monterrey ,25.657189,-100.311963, Bajan de taxi y asesinan a un taquero  ,0,0,0,0,0
2012, 11 de Agosto     , Monterrey ,25.721251,-100.358562, Tiran de puente a ejecutado  ,0,0,0,0,0
2012, 11 de Agosto     , Monterrey ,25.686447,-100.297876, Torturan y ejecutan en Colonia Terminal  ,0,0,0,0,0
2012, 9 de Agosto     , Monterrey ,25.728648,-100.333105, Vuelven a NL los colgados en los puentes ,0,0,0,0,0
2012, 9 de Agosto     , Monterrey ,25.732179,-100.332298, La dejan correr; luego la ejecutan ,0,0,0,0,0
2012, 8 de Agosto     , Monterrey ,25.717765,-100.34593, Matan a 3 frente a table ,0,0,0,0,0
2012, 8 de Agosto     , Monterrey ,25.69742,-100.268414, Ejecutan sicarios a joven en Avenida Churubusco ,0,0,0,0,0
2012, 6 de Agosto     , Monterrey ,25.698946,-100.286656, Se resiste a plagio y lo matan a tiros ,0,0,0,0,0
